                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0285,                 3.2061,                  4.162,                 2.8157,                 4.6811,                 4.1849,                0.00335,                0.99156,                0.03133,                0.00933,                  2.314,                 3.2964,                 4.0591,                  2.133,                 4.8669,                 4.0462,               0.070186,              0.0033126,              0.0033126
                      2,                 2.9702,                  3.142,                 4.1082,                 2.7208,                 4.1853,                 4.1179,                0.00301,                 0.8903,                0.01066,                0.00255,                 2.6096,                 4.3239,                 7.7265,                 2.6885,                 4.5796,                 7.5821,               0.040121,              0.0065802,              0.0065802
                      3,                 2.9606,                 3.0885,                 4.0603,                 2.7049,                 4.0947,                 4.0598,                0.00215,                0.63713,                 0.0034,                0.00088,                  2.338,                 3.7433,                 5.8953,                 3.0368,                 4.9864,                 5.4435,              0.0099887,              0.0097817,              0.0097817
                      4,                 2.9284,                 2.9528,                 3.9464,                 2.6419,                 3.8936,                 3.8807,                0.00265,                0.78481,                0.01007,                0.00211,                 2.8803,                 3.7132,                 5.2248,                 2.9657,                 4.6481,                 5.2294,               0.009703,               0.009703,               0.009703
                      5,                 2.8891,                 2.7157,                 3.7437,                 2.5939,                 3.4804,                 3.5712,                0.13042,                0.18987,                0.07707,                0.01829,                 2.7547,                  3.276,                 3.9274,                 2.5207,                 3.9016,                 3.9502,               0.009703,               0.009703,               0.009703
                      6,                 2.6209,                 2.4167,                 3.4539,                 2.2516,                 2.9721,                 3.1544,                0.21965,                0.28692,                 0.1456,                0.04926,                 2.4071,                 2.7359,                 3.5737,                 2.1544,                 3.1622,                 3.4986,               0.009604,               0.009604,               0.009604
                      7,                  2.376,                 2.0933,                 3.1433,                 2.0347,                  2.566,                 2.8563,                0.27639,                0.18143,                0.20548,                0.07797,                 1.8885,                 1.8376,                 2.9691,                 1.7914,                 2.7916,                 3.0301,               0.009505,               0.009505,               0.009505
                      8,                 2.1814,                  1.864,                 2.9188,                 1.8473,                 2.2965,                  2.608,                0.50577,                0.50211,                0.49949,                0.23324,                 1.7342,                 1.5522,                 2.7779,                 1.8355,                  2.024,                 2.9318,               0.009406,               0.009406,               0.009406
                      9,                 1.9751,                 1.6028,                 2.7093,                  1.739,                 1.9804,                 2.4481,                 0.5553,                0.64279,                0.64313,                0.38477,                 1.4288,                 1.2181,                 2.4806,                 1.3189,                 1.5757,                 2.4776,               0.009307,               0.009307,               0.009307
                     10,                 1.7728,                 1.3674,                 2.4919,                 1.5981,                 1.6961,                 2.2748,                0.68255,                0.71669,                0.78811,                0.53178,                 1.1553,                 0.9559,                 2.2397,                 1.1449,                 1.1982,                 2.2851,               0.009208,               0.009208,               0.009208
                     11,                 1.6313,                 1.2335,                 2.3777,                 1.5053,                 1.5493,                 2.2052,                0.69789,                0.78903,                 0.8221,                0.56109,                 1.0501,                0.91679,                 2.0599,                 1.1059,                 1.1826,                  2.151,               0.009109,               0.009109,               0.009109
                     12,                 1.4985,                  1.105,                 2.2104,                 1.4313,                  1.351,                 2.0957,                0.72577,                0.81518,                0.86104,                0.63471,                 1.0404,                0.75785,                 2.0223,                 1.0285,                0.90409,                 2.0915,                0.00901,                0.00901,                0.00901
                     13,                   1.41,                 1.0339,                 2.1478,                 1.3796,                 1.2484,                 2.0345,                0.76527,                0.88608,                0.90728,                0.65954,                0.96211,                0.72412,                 1.9538,                 1.0047,                0.77472,                 2.0015,               0.008911,               0.008911,               0.008911
                     14,                 1.2926,                0.95458,                 2.0282,                 1.2841,                 1.1303,                 1.9486,                0.81784,                0.86498,                0.93008,                0.68688,                0.93965,                 0.6781,                  1.856,                 1.0427,                0.69701,                 2.0881,               0.008812,               0.008812,               0.008812
                     15,                 1.3082,                0.92868,                 1.9965,                 1.3145,                 1.1102,                 1.9413,                0.85966,                0.82708,                0.93581,                0.70959,                0.93708,                0.64529,                 1.8624,                0.95312,                0.70117,                 1.9873,               0.008713,               0.008713,               0.008713
                     16,                 1.2248,                0.86683,                 1.9266,                 1.2358,                 1.0359,                 1.8833,                 0.9231,                0.83122,                0.94894,                0.72717,                 0.8816,                 0.6562,                 1.7954,                0.97904,                0.62414,                 2.0189,               0.008614,               0.008614,               0.008614
                     17,                 1.2049,                0.85537,                 1.8957,                 1.2276,                  1.003,                 1.8574,                0.88534,                0.90717,                0.96456,                0.74883,                0.85705,                0.61203,                 1.7551,                0.89837,                0.54929,                  1.866,               0.008515,               0.008515,               0.008515
                     18,                 1.1735,                0.82492,                 1.8592,                 1.1882,                0.96413,                  1.833,                0.84262,                0.90717,                0.93873,                0.72879,                0.82858,                0.57676,                 1.7257,                0.86378,                0.61844,                 1.8393,               0.008416,               0.008416,               0.008416
                     19,                 1.1551,                0.80623,                 1.8621,                 1.2116,                0.90558,                 1.8289,                0.90344,                0.91139,                0.96519,                0.78032,                0.79834,                0.52492,                 1.6615,                0.80835,                 0.4871,                 1.7731,               0.008317,               0.008317,               0.008317
                     20,                 1.1248,                0.79159,                 1.8025,                 1.1597,                0.88393,                 1.7825,                0.92745,                0.94093,                0.97876,                0.76637,                0.87781,                0.50964,                 1.7888,                0.89294,                0.45355,                 1.8233,               0.008218,               0.008218,               0.008218
                     21,                 1.0841,                0.75274,                 1.7647,                 1.1248,                0.83339,                  1.745,                0.92431,                0.92747,                0.97381,                0.77012,                0.79425,                0.49533,                 1.6649,                0.83858,                0.45974,                 1.8261,               0.008119,               0.008119,               0.008119
                     22,                 1.0882,                0.75906,                 1.7761,                 1.1194,                0.86617,                 1.7407,                0.89244,                0.87764,                0.94254,                0.72224,                0.85758,                 0.5175,                 1.7188,                0.91427,                0.58152,                 1.8404,                0.00802,                0.00802,                0.00802
                     23,                 1.0675,                0.74704,                  1.735,                 1.1083,                0.81363,                 1.7087,                0.89287,                0.91561,                  0.974,                0.78392,                0.81149,                0.49851,                  1.663,                0.79792,                0.43522,                 1.7369,               0.007921,               0.007921,               0.007921
                     24,                 1.0684,                0.71611,                  1.745,                 1.1057,                0.77541,                 1.7207,                0.90474,                 0.9217,                0.97252,                0.72892,                 0.8229,                0.50467,                 1.6682,                0.97555,                0.47221,                 1.8617,               0.007822,               0.007822,               0.007822
                     25,                 1.0575,                0.73213,                 1.7337,                 1.0947,                0.82584,                 1.7016,                 0.9299,                0.89551,                0.97261,                0.78445,                0.74149,                0.47646,                  1.577,                0.77503,                 0.4524,                 1.6399,               0.007723,               0.007723,               0.007723
                     26,                 1.0069,                0.69924,                 1.7016,                 1.0462,                0.78301,                 1.6774,                0.92606,                0.96203,                0.98159,                0.77943,                0.80378,                  0.471,                 1.6619,                0.86433,                0.42029,                 1.7631,               0.007624,               0.007624,               0.007624
                     27,                 1.0328,                0.71481,                 1.6931,                 1.0761,                0.78974,                 1.6581,                0.90969,                0.93249,                0.97588,                0.78913,                0.76314,                0.45551,                 1.5981,                0.79781,                0.45284,                 1.6541,               0.007525,               0.007525,               0.007525
                     28,                0.98133,                0.67691,                 1.6628,                 1.0124,                0.76534,                 1.6336,                0.84705,                 0.8481,                0.92899,                0.73203,                0.76673,                0.47775,                 1.5941,                 0.8459,                0.58987,                  1.748,               0.007426,               0.007426,               0.007426
                     29,                 1.0111,                0.68281,                 1.6807,                 1.0601,                0.76695,                 1.6679,                0.88766,                0.93353,                0.97096,                0.77342,                0.76824,                0.46332,                  1.592,                0.83093,                0.45659,                 1.7184,               0.007327,               0.007327,               0.007327
                     30,                 0.9613,                0.65613,                 1.6448,                 1.0164,                 0.7311,                 1.6272,                0.88871,                0.89873,                0.96162,                0.76988,                 0.7835,                0.43714,                 1.6064,                 0.8266,                0.46299,                 1.6789,               0.007228,               0.007228,               0.007228
                     31,                0.99449,                0.68174,                 1.6541,                 1.0301,                0.75192,                 1.6242,                0.87153,                0.94462,                0.97118,                 0.7864,                0.71207,                0.43048,                 1.5415,                0.74327,                0.44232,                 1.6163,               0.007129,               0.007129,               0.007129
                     32,                0.99708,                0.66709,                  1.662,                 1.0251,                0.74655,                 1.6127,                0.93339,                0.95359,                0.98772,                 0.7683,                0.82885,                0.46259,                 1.6396,                0.88125,                0.38525,                 1.7529,                0.00703,                0.00703,                0.00703
                     33,                0.96603,                0.64274,                 1.6335,                 1.0101,                0.68533,                 1.6097,                0.93738,                0.94745,                 0.9845,                 0.7918,                0.77059,                0.42349,                 1.5837,                0.80627,                0.37118,                 1.6647,               0.006931,               0.006931,               0.006931
                     34,                0.97062,                0.64786,                  1.627,                 1.0265,                0.70298,                  1.618,                0.92854,                0.93249,                0.98046,                0.79295,                0.72093,                0.41803,                 1.5656,                0.74473,                0.38028,                 1.5969,               0.006832,               0.006832,               0.006832
                     35,                0.96486,                0.64142,                 1.6107,                 1.0124,                0.69431,                 1.5856,                0.93635,                0.93109,                0.97862,                0.78434,                0.73555,                0.43378,                 1.5485,                0.79514,                0.40778,                 1.6543,               0.006733,               0.006733,               0.006733
                     36,                0.94591,                0.63166,                 1.6111,                 1.0037,                0.66143,                 1.5879,                0.93514,                0.91259,                0.97789,                0.80027,                0.73354,                0.43653,                 1.5616,                0.76786,                0.41845,                 1.6084,               0.006634,               0.006634,               0.006634
                     37,                0.91396,                0.61922,                 1.5875,                0.95675,                0.64548,                 1.5601,                0.96225,                0.97046,                0.99066,                0.80448,                 0.7121,                0.39536,                 1.5122,                 0.7544,                0.32415,                 1.5794,               0.006535,               0.006535,               0.006535
